
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): December
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,12/03/2015,0177,N791AA,JFK,21:57,22:54,57,0000,0000,0057,0000,0000,
  AA,12/03/2015,0179,N789AA,JFK,14:10,16:25,135,0000,0000,0135,0000,0000,
  AA,12/03/2015,0193,N3DPAA,ORD,14:53,16:12,79,0000,0000,0079,0000,0000,
  AA,12/03/2015,0209,N3FDAA,LAX,17:31,19:26,115,0082,0000,0033,0000,0000,
  AA,12/03/2015,0241,N3HLAA,ORD,16:40,18:06,86,0000,0000,0086,0000,0000,
  AA,12/03/2015,0249,N3EVAA,DFW,17:38,19:03,85,0000,0000,0085,0000,0000,
  AA,12/03/2015,0259,N862AA,DFW,13:00,14:45,105,0000,0000,0092,0000,0013,
  AA,12/03/2015,0330,N872AA,DFW,16:02,16:27,25,0000,0000,0025,0000,0000,
  AA,12/03/2015,0349,N3GPAA,DFW,14:02,16:22,140,0000,0000,0140,0000,0000,
  AA,12/03/2015,0353,N3JFAA,LAX,18:40,20:33,113,0000,0000,0017,0000,0096,
  AA,12/03/2015,0356,N3CRAA,LAX,20:52,20:51,-1,0000,0000,0000,0000,0000,
  AA,12/03/2015,0403,N675AW,PHX,09:50,11:55,125,0000,0000,0125,0000,0000,
  AA,12/03/2015,0407,N161UW,PHX,16:05,16:19,14,0000,0000,0000,0000,0000,
  AA,12/03/2015,0433,N189UW,PHX,12:35,12:45,10,0000,0000,0000,0000,0000,
  AA,12/03/2015,0436,N971UY,PHX,22:30,22:35,5,0000,0000,0000,0000,0000,
  AA,12/03/2015,0461,N508AY,CLT,12:18,12:00,-18,0000,0000,0000,0000,0000,
  AA,12/03/2015,0475,N546UW,CLT,23:05,23:23,18,0000,0000,0018,0000,0000,
  AA,12/03/2015,0557,N585UW,CLT,17:38,18:17,39,0000,0000,0039,0000,0000,
  AA,12/03/2015,0615,N568UW,PHL,11:09,10:55,-14,0000,0000,0000,0000,0000,
  AA,12/03/2015,0662,N509AY,CLT,10:15,10:10,-5,0000,0000,0000,0000,0000,
  AA,12/03/2015,0672,N914UY,PHL,13:48,15:15,87,0000,0000,0087,0000,0000,
  AA,12/03/2015,0686,N521UW,PHX,19:16,20:10,54,0000,0000,0054,0000,0000,
  AA,12/03/2015,0709,N538UW,PHL,19:28,20:55,87,0000,0000,0087,0000,0000,
  AA,12/03/2015,0719,N192UW,PHL,21:18,22:52,94,0000,0000,0094,0000,0000,
  AA,12/03/2015,1071,N3MDAA,LAX,19:38,20:13,35,0000,0017,0018,0000,0000,
  AA,12/03/2015,1130,N3JNAA,MIA,20:37,22:54,137,0000,0000,0137,0000,0000,
  AA,12/03/2015,1145,N3MHAA,ORD,10:09,09:57,-12,0000,0000,0000,0000,0000,
  AA,12/03/2015,1183,N861AA,DFW,22:34,22:59,25,0000,0000,0025,0000,0000,
  AA,12/03/2015,1203,N3JFAA,LAX,13:37,15:59,142,0000,0142,0000,0000,0000,
  AA,12/03/2015,1273,N882AA,DFW,23:51,00:10,19,0010,0000,0000,0000,0009,
  AA,12/03/2015,1393,N3JJAA,DFW,18:56,20:44,108,0000,0000,0108,0000,0000,
  AA,12/03/2015,1624,N3ERAA,ORD,19:54,21:24,90,0015,0000,0075,0000,0000,
  AA,12/03/2015,1799,N578UW,CLT,20:50,21:52,62,0000,0000,0062,0000,0000,
  AA,12/03/2015,2029,N153UW,CLT,19:23,22:12,169,0000,0000,0169,0000,0000,
  AA,12/03/2015,2207,N877AA,DFW,11:03,12:40,97,0000,0000,0097,0000,0000,
  AA,12/03/2015,2356,N3GUAA,ORD,12:56,15:14,138,0000,0000,0138,0000,0000,
