
   Detailed Statistics  
    Arrivals 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: American Airlines (AA)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport ,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  AA,06/03/2015,0209,N3HTAA,LAX,17:46,18:20,34,0000,0000,0019,0000,0015,
  AA,06/03/2015,0218,N3EBAA,LAX,19:58,20:53,55,0000,0000,0055,0000,0000,
  AA,06/03/2015,0241,N3DNAA,ORD,16:45,16:43,-2,0000,0000,0000,0000,0000,
  AA,06/03/2015,0259,N3KFAA,DFW,12:42,12:24,-18,0000,0000,0000,0000,0000,
  AA,06/03/2015,0305,N635AA,MIA,17:32,17:27,-5,0000,0000,0000,0000,0000,
  AA,06/03/2015,0338,N5FBAA,LAX,08:11,08:05,-6,0000,0000,0000,0000,0000,
  AA,06/03/2015,1127,N3DJAA,DFW,22:23,23:10,47,0000,0000,0047,0000,0000,
  AA,06/03/2015,1143,N3HTAA,LAX,13:43,13:41,-2,0000,0000,0000,0000,0000,
  AA,06/03/2015,1145,N3MDAA,ORD,10:16,10:30,14,0000,0000,0000,0000,0000,
  AA,06/03/2015,1273,N3BWAA,DFW,23:59,00:10,11,0000,0000,0000,0000,0000,
  AA,06/03/2015,1371,N3GFAA,DFW,15:54,15:34,-20,0000,0000,0000,0000,0000,
  AA,06/03/2015,1377,N3GAAA,DFW,17:41,17:17,-24,0000,0000,0000,0000,0000,
  AA,06/03/2015,1393,N5EHAA,DFW,21:01,21:24,23,0000,0000,0023,0000,0000,
  AA,06/03/2015,1624,N3FEAA,ORD,19:56,19:28,-28,0000,0000,0000,0000,0000,
  AA,06/03/2015,2317,N3CUAA,DFW,11:02,10:51,-11,0000,0000,0000,0000,0000,
  AA,06/03/2015,2352,N3EGAA,ORD,15:27,15:14,-13,0000,0000,0000,0000,0000,
  AA,06/03/2015,2356,N3HFAA,ORD,13:14,00:00,0,0000,0000,0000,0000,0000,
  AA,06/03/2015,2438,N3FFAA,LAX,11:43,11:40,-3,0000,0000,0000,0000,0000,
  AA,06/03/2015,2448,N3ADAA,MIA,23:58,23:56,-2,0000,0000,0000,0000,0000,
  AA,06/03/2015,2465,N3FAAA,LAX,21:54,22:22,28,0000,0000,0028,0000,0000,
